namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,25809492758
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,24434350662.29
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,11386362960
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,6868832338.61
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,5000000000
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,557672853
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,92269476078
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,104082251133.52
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1060862970990
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1030359692450
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,70317524700
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,68966853292.18
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,900000000
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,887507653
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,13393749600
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,11901280662
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,70317524700
Kab. Aceh Barat,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Realisasi,54090023857
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,556143073769
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,478098503205.3
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,247587531629
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,237219708905.83
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,179404390462
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,208766082878.8
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,1347758179
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,1605189200
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,25244375993
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,51122719030
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,10819290672
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,10677190000
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,9683937110
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,600000000
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,3717985572
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,3664966600
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,300991233700
Kab. Aceh Barat,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,263892770025
Kab. Aceh Barat,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,55000000000
Kab. Aceh Barat,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,108009218969.37
Kab. Aceh Barat,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,0
Kab. Aceh Barat,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,250000000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,8830000000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,8188250160
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,2298011323
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,1087593740
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,1800000000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,2306519457
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,83244312628
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,91492382791.09
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,693616763000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,663878703749
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,53845552519
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,54090159880
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,500000000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,484500000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,13878163500
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,13543396445
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,53845552519
Kab. Aceh Barat Daya,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Realisasi,48683119594
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,330719134901
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,276439724661
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,242546611585
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,229760518694.82
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,163229322367
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,110776966068
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,44547223311
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,44755683177
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,8125541028
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,8905566444
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,9972392638
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,3330500000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,1112801132
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,1212801132
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,157126068100
Kab. Aceh Barat Daya,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,158448086136
Kab. Aceh Barat Daya,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,102366292092
Kab. Aceh Barat Daya,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,92377903342.5
Kab. Aceh Barat Daya,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,3000000000
Kab. Aceh Barat Daya,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,2000000000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,107479490000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,88606056535.46
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,7903848000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,26475572165
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,8080000000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,6758220780
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,31100662000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,15466954785.46
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1455296317000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1352449921014
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,87240193746
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,89880481802
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,2197944000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,230836300
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,46500000000
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,23197025483
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,87240193746
Kab. Aceh Besar,Provinsi Aceh,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Realisasi,74990105026
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,614677341060
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,497952735789
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,369361052445
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,341403943222
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,96341967478
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,91052919957
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,1007075091
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,1006695000
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,94358513532
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,118234301483
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,14877653510
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,9900388077
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,5000000000
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,459841000
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,11538333800
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,13373027954
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,548636517830
Kab. Aceh Besar,Provinsi Aceh,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,543532484920
Kab. Aceh Besar,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,10000000000
Kab. Aceh Besar,Provinsi Aceh,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,60950854026.3
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,6400881832
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,6344406447.5
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,5130981000
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,4780750350
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,8974947594
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,8003139829
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,44043277228.06
Kab. Aceh Jaya,Provinsi Aceh,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,49271112619.69
