kodepemda,kodesatker,namapemda,kodeprovinsi,kodekabkota,provinsi,kodewilayah
01.01,990078,Kab. Aceh Barat,11,1105,Provinsi Aceh,01.00
01.17,997426,Kab. Aceh Barat Daya,11,1112,Provinsi Aceh,01.00
01.02,990022,Kab. Aceh Besar,11,1106,Provinsi Aceh,01.00
01.18,997447,Kab. Aceh Jaya,11,1114,Provinsi Aceh,01.00
01.03,990061,Kab. Aceh Selatan,11,1101,Provinsi Aceh,01.00
01.04,980007,Kab. Aceh Singkil,11,1110,Provinsi Aceh,01.00
01.20,997468,Kab. Aceh Tamiang,11,1116,Provinsi Aceh,01.00
01.05,990082,Kab. Aceh Tengah,11,1104,Provinsi Aceh,01.00
01.06,990099,Kab. Aceh Tenggara,11,1102,Provinsi Aceh,01.00
01.07,990057,Kab. Aceh Timur,11,1103,Provinsi Aceh,01.00
01.08,990040,Kab. Aceh Utara,11,1108,Provinsi Aceh,01.00
01.21,987532,Kab. Bener Meriah,11,1117,Provinsi Aceh,01.00
01.09,980053,Kab. Bireuen,11,1111,Provinsi Aceh,01.00
01.16,997430,Kab. Gayo Lues,11,1113,Provinsi Aceh,01.00
01.19,997451,Kab. Nagan Raya,11,1115,Provinsi Aceh,01.00
01.10,990036,Kab. Pidie,11,1107,Provinsi Aceh,01.00
01.22,963311,Kab. Pidie Jaya,11,1118,Provinsi Aceh,01.00
01.11,993372,Kab. Simeulue,11,1109,Provinsi Aceh,01.00
01.12,990104,Kota Banda Aceh,11,1171,Provinsi Aceh,01.00
01.14,994672,Kota Langsa,11,1174,Provinsi Aceh,01.00
01.15,994686,Kota Lhokseumawe,11,1173,Provinsi Aceh,01.00
01.13,990111,Kota Sabang,11,1172,Provinsi Aceh,01.00
01.23,963327,Kota Subulussalam,11,1175,Provinsi Aceh,01.00
22.01,992342,Kab. Badung,51,5103,Provinsi Bali,22.00
22.02,992338,Kab. Bangli,51,5106,Provinsi Bali,22.00
22.03,992281,Kab. Buleleng,51,5108,Provinsi Bali,22.00
22.04,992317,Kab. Gianyar,51,5104,Provinsi Bali,22.00
22.05,992295,Kab. Jembrana,51,5101,Provinsi Bali,22.00
22.06,992321,Kab. Karangasem,51,5107,Provinsi Bali,22.00
22.07,992300,Kab. Klungkung,51,5105,Provinsi Bali,22.00
22.08,992359,Kab. Tabanan,51,5102,Provinsi Bali,22.00
22.09,992363,Kota Denpasar,51,5171,Provinsi Bali,22.00
29.01,990629,Kab. Bangka,19,1901,Provinsi Bangka Belitung,29.00
29.06,998168,Kab. Bangka Barat,19,1905,Provinsi Bangka Belitung,29.00
29.04,998189,Kab. Bangka Selatan,19,1903,Provinsi Bangka Belitung,29.00
29.05,998172,Kab. Bangka Tengah,19,1904,Provinsi Bangka Belitung,29.00
29.02,990612,Kab. Belitung,19,1902,Provinsi Bangka Belitung,29.00
29.07,998193,Kab. Belitung Timur,19,1906,Provinsi Bangka Belitung,29.00
29.03,990701,Kota Pangkal Pinang,19,1971,Provinsi Bangka Belitung,29.00
28.01,990917,Kab. Lebak,36,3602,Provinsi Banten,28.00
28.02,990900,Kab. Pandeglang,36,3601,Provinsi Banten,28.00
28.03,990895,Kab. Serang,36,3604,Provinsi Banten,28.00
28.04,990921,Kab. Tangerang,36,3603,Provinsi Banten,28.00
28.05,980049,Kota Cilegon,36,3672,Provinsi Banten,28.00
28.07,975461,Kota Serang,36,3673,Provinsi Banten,28.00
28.06,991134,Kota Tangerang,36,3671,Provinsi Banten,28.00
28.08,978454,Kota Tangerang Selatan,36,3674,Provinsi Banten,28.00
07.01,990739,Kab. Bengkulu Selatan,17,1701,Provinsi Bengkulu,07.00
07.10,977710,Kab. Bengkulu Tengah,17,1709,Provinsi Bengkulu,07.00
07.02,990722,Kab. Bengkulu Utara,17,1703,Provinsi Bengkulu,07.00
07.05,998215,Kab. Kaur,17,1704,Provinsi Bengkulu,07.00
07.09,987617,Kab. Kepahiang,17,1708,Provinsi Bengkulu,07.00
07.08,987600,Kab. Lebong,17,1707,Provinsi Bengkulu,07.00
07.07,998503,Kab. Mukomuko,17,1706,Provinsi Bengkulu,07.00
07.03,990743,Kab. Rejang Lebong,17,1702,Provinsi Bengkulu,07.00
07.06,998201,Kab. Seluma,17,1705,Provinsi Bengkulu,07.00
07.04,990750,Kota Bengkulu,17,1771,Provinsi Bengkulu,07.00
12.01,991511,Kab. Bantul,34,3402,Provinsi DI Yogyakarta,12.00
12.02,991532,Kab. Gunung Kidul,34,3403,Provinsi DI Yogyakarta,12.00
12.03,991549,Kab. Kulon Progo,34,3401,Provinsi DI Yogyakarta,12.00
12.04,991528,Kab. Sleman,34,3404,Provinsi DI Yogyakarta,12.00
12.05,991553,Kota Yogyakarta,34,3471,Provinsi DI Yogyakarta,12.00
30.01,980302,Kab. Boalemo,75,7502,Provinsi Gorontalo,30.00
30.05,998278,Kab. Bone Bolango,75,7503,Provinsi Gorontalo,30.00
30.02,993038,Kab. Gorontalo,75,7501,Provinsi Gorontalo,30.00
30.06,963421,Kab. Gorontalo Utara,75,7505,Provinsi Gorontalo,30.00
30.04,998261,Kab. Pohuwato,75,7504,Provinsi Gorontalo,30.00
30.03,993084,Kota Gorontalo,75,7571,Provinsi Gorontalo,30.00
05.01,990544,Kab. Batanghari,15,1504,Provinsi Jambi,05.00
05.02,990565,Kab. Bungo,15,1508,Provinsi Jambi,05.00
05.03,990586,Kab. Kerinci,15,1501,Provinsi Jambi,05.00
05.04,990572,Kab. Merangin,15,1502,Provinsi Jambi,05.00
05.05,980184,Kab. Muaro Jambi,15,1505,Provinsi Jambi,05.00
05.06,980163,Kab. Sarolangun,15,1503,Provinsi Jambi,05.00
05.07,990551,Kab. Tanjung Jabung Barat,15,1506,Provinsi Jambi,05.00
05.08,980522,Kab. Tanjung Jabung Timur,15,1507,Provinsi Jambi,05.00
05.09,980170,Kab. Tebo,15,1509,Provinsi Jambi,05.00
05.10,990590,Kota Jambi,15,1571,Provinsi Jambi,05.00
05.11,977562,Kota Sungai Penuh,15,1572,Provinsi Jambi,05.00
10.01,991003,Kab. Bandung,32,3204,Provinsi Jawa Barat,10.00
10.26,963302,Kab. Bandung Barat,32,3217,Provinsi Jawa Barat,10.00
10.02,990963,Kab. Bekasi,32,3216,Provinsi Jawa Barat,10.00
10.03,990938,Kab. Bogor,32,3201,Provinsi Jawa Barat,10.00
10.04,991045,Kab. Ciamis,32,3207,Provinsi Jawa Barat,10.00
10.05,990959,Kab. Cianjur,32,3203,Provinsi Jawa Barat,10.00
10.06,991052,Kab. Cirebon,32,3209,Provinsi Jawa Barat,10.00
10.07,991024,Kab. Garut,32,3205,Provinsi Jawa Barat,10.00
10.08,991070,Kab. Indramayu,32,3212,Provinsi Jawa Barat,10.00
10.09,990970,Kab. Karawang,32,3215,Provinsi Jawa Barat,10.00
10.10,991066,Kab. Kuningan,32,3208,Provinsi Jawa Barat,10.00
10.11,991087,Kab. Majalengka,32,3210,Provinsi Jawa Barat,10.00
10.27,999002,Kab. Pangandaran,32,3218,Provinsi Jawa Barat,10.00
10.12,990984,Kab. Purwakarta,32,3214,Provinsi Jawa Barat,10.00
10.13,990991,Kab. Subang,32,3213,Provinsi Jawa Barat,10.00
10.14,990942,Kab. Sukabumi,32,3202,Provinsi Jawa Barat,10.00
10.15,991010,Kab. Sumedang,32,3211,Provinsi Jawa Barat,10.00
10.16,991031,Kab. Tasikmalaya,32,3206,Provinsi Jawa Barat,10.00
10.17,991091,Kota Bandung,32,3273,Provinsi Jawa Barat,10.00
10.25,998126,Kota Banjar,32,3279,Provinsi Jawa Barat,10.00
10.18,993330,Kota Bekasi,32,3275,Provinsi Jawa Barat,10.00
10.19,991109,Kota Bogor,32,3271,Provinsi Jawa Barat,10.00
10.24,994754,Kota Cimahi,32,3277,Provinsi Jawa Barat,10.00
10.20,991120,Kota Cirebon,32,3274,Provinsi Jawa Barat,10.00
10.21,980032,Kota Depok,32,3276,Provinsi Jawa Barat,10.00
10.22,991113,Kota Sukabumi,32,3272,Provinsi Jawa Barat,10.00
10.23,994740,Kota Tasikmalaya,32,3278,Provinsi Jawa Barat,10.00
11.01,991329,Kab. Banjarnegara,33,3304,Provinsi Jawa Tengah,11.00
11.02,991290,Kab. Banyumas,33,3302,Provinsi Jawa Tengah,11.00
11.03,991202,Kab. Batang,33,3325,Provinsi Jawa Tengah,11.00
11.04,991286,Kab. Blora,33,3316,Provinsi Jawa Tengah,11.00
11.05,991396,Kab. Boyolali,33,3309,Provinsi Jawa Tengah,11.00
11.06,991223,Kab. Brebes,33,3329,Provinsi Jawa Tengah,11.00
11.07,991308,Kab. Cilacap,33,3301,Provinsi Jawa Tengah,11.00
11.08,991176,Kab. Demak,33,3321,Provinsi Jawa Tengah,11.00
11.09,991180,Kab. Grobogan,33,3315,Provinsi Jawa Tengah,11.00
11.10,991265,Kab. Jepara,33,3320,Provinsi Jawa Tengah,11.00
11.11,991422,Kab. Karanganyar,33,3313,Provinsi Jawa Tengah,11.00
11.12,991375,Kab. Kebumen,33,3305,Provinsi Jawa Tengah,11.00
11.13,991162,Kab. Kendal,33,3324,Provinsi Jawa Tengah,11.00
11.14,991382,Kab. Klaten,33,3310,Provinsi Jawa Tengah,11.00
11.15,991244,Kab. Kudus,33,3319,Provinsi Jawa Tengah,11.00
11.16,991333,Kab. Magelang,33,3308,Provinsi Jawa Tengah,11.00
11.17,991230,Kab. Pati,33,3318,Provinsi Jawa Tengah,11.00
11.18,991197,Kab. Pekalongan,33,3326,Provinsi Jawa Tengah,11.00
11.19,991251,Kab. Pemalang,33,3327,Provinsi Jawa Tengah,11.00
11.20,991312,Kab. Purbalingga,33,3303,Provinsi Jawa Tengah,11.00
11.21,991361,Kab. Purworejo,33,3306,Provinsi Jawa Tengah,11.00
11.22,991272,Kab. Rembang,33,3317,Provinsi Jawa Tengah,11.00
11.23,991155,Kab. Semarang,33,3322,Provinsi Jawa Tengah,11.00
11.24,991401,Kab. Sragen,33,3314,Provinsi Jawa Tengah,11.00
11.25,991418,Kab. Sukoharjo,33,3311,Provinsi Jawa Tengah,11.00
11.26,991219,Kab. Tegal,33,3328,Provinsi Jawa Tengah,11.00
11.27,991340,Kab. Temanggung,33,3323,Provinsi Jawa Tengah,11.00
11.28,991439,Kab. Wonogiri,33,3312,Provinsi Jawa Tengah,11.00
11.29,991354,Kab. Wonosobo,33,3307,Provinsi Jawa Tengah,11.00
11.30,991485,Kota Magelang,33,3371,Provinsi Jawa Tengah,11.00
11.31,991464,Kota Pekalongan,33,3375,Provinsi Jawa Tengah,11.00
11.32,991450,Kota Salatiga,33,3373,Provinsi Jawa Tengah,11.00
11.33,991443,Kota Semarang,33,3374,Provinsi Jawa Tengah,11.00
11.34,991492,Kota Surakarta,33,3372,Provinsi Jawa Tengah,11.00
11.35,991471,Kota Tegal,33,3376,Provinsi Jawa Tengah,11.00
13.01,991642,Kab. Bangkalan,35,3526,Provinsi Jawa Timur,13.00
13.02,991670,Kab. Banyuwangi,35,3510,Provinsi Jawa Timur,13.00
13.03,991773,Kab. Blitar,35,3505,Provinsi Jawa Timur,13.00
13.04,991837,Kab. Bojonegoro,35,3522,Provinsi Jawa Timur,13.00
13.05,991659,Kab. Bondowoso,35,3511,Provinsi Jawa Timur,13.00
13.06,991574,Kab. Gresik,35,3525,Provinsi Jawa Timur,13.00
13.07,991684,Kab. Jember,35,3509,Provinsi Jawa Timur,13.00
13.08,991600,Kab. Jombang,35,3517,Provinsi Jawa Timur,13.00
13.09,991731,Kab. Kediri,35,3506,Provinsi Jawa Timur,13.00
13.10,991858,Kab. Lamongan,35,3524,Provinsi Jawa Timur,13.00
13.11,991727,Kab. Lumajang,35,3508,Provinsi Jawa Timur,13.00
13.12,991780,Kab. Madiun,35,3519,Provinsi Jawa Timur,13.00
13.13,991802,Kab. Magetan,35,3520,Provinsi Jawa Timur,13.00
13.14,991691,Kab. Malang,35,3507,Provinsi Jawa Timur,13.00
13.15,991581,Kab. Mojokerto,35,3516,Provinsi Jawa Timur,13.00
13.16,991752,Kab. Nganjuk,35,3518,Provinsi Jawa Timur,13.00
13.17,991794,Kab. Ngawi,35,3521,Provinsi Jawa Timur,13.00
13.18,991820,Kab. Pacitan,35,3501,Provinsi Jawa Timur,13.00
13.19,991621,Kab. Pamekasan,35,3528,Provinsi Jawa Timur,13.00
13.20,991706,Kab. Pasuruan,35,3514,Provinsi Jawa Timur,13.00
13.21,991816,Kab. Ponorogo,35,3502,Provinsi Jawa Timur,13.00
13.22,991710,Kab. Probolinggo,35,3513,Provinsi Jawa Timur,13.00
13.23,991617,Kab. Sampang,35,3527,Provinsi Jawa Timur,13.00
13.24,991595,Kab. Sidoarjo,35,3515,Provinsi Jawa Timur,13.00
13.25,991663,Kab. Situbondo,35,3512,Provinsi Jawa Timur,13.00
