namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,23934798758
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,24546367307.47
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,7988477860
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,5892710631.55
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,5500000000
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,4794752297.54
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,92905476078
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,99407404047.45
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1164122848751
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1144244382414
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,27939785387
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,33753889331
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,14200000000
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,5347049425
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,19591800000
Kab. Aceh Barat,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,22521778000
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,508849094299
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,463071892678.29
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Anggaran,203766328608
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Realisasi,213975311350.06
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,286592980337
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,289191622679.52
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Anggaran,0
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Realisasi,11322997.15
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,0
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,191276000
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,29359168111
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,28170536278
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,18059290000
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,18966456572.03
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,4085345113
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,475925000
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,3192327662
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,3047959162
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,336084917600
Kab. Aceh Barat,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,326571021755
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,33806264896
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,113134519842.91
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,614. Penerimaan Pinjaman Daerah,Anggaran,0
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,614. Penerimaan Pinjaman Daerah,Realisasi,3488596900
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,0
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,1000000000
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,0
Kab. Aceh Barat,Provinsi Aceh,2021,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,3488596900
Kab. Aceh Barat Daya,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,7190000000
Kab. Aceh Barat Daya,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,7434410414.58
Kab. Aceh Barat Daya,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,2272588000
