namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,23723612758
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,29502893790.17
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,8839175010
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,6767402443.54
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,5000000000
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,4718030043
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,92427908878
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,91066738737.99
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1081396097384
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1056051584830
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,31471811724
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,124306323031.95
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,650000000
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,5923000000
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,0
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,11440542674
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,31471811724
Kab. Aceh Barat,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Realisasi,124306323031.95
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,503457718806
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,491142213419
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Anggaran,219592186043
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Realisasi,226271340738.26
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,216772833008
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,251666614320
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,184000000
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,1383996000
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,32298980642
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,39283616059
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,12836900000
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,12705273461.89
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,4264683200
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,3421493608
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,3256278777
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,3327568700
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,301854290600
Kab. Aceh Barat,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,301534709100
Kab. Aceh Barat,Provinsi Aceh,2022,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,51009265322
Kab. Aceh Barat,Provinsi Aceh,2022,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,108969528824.87
Kab. Aceh Barat Daya,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,8000000000
Kab. Aceh Barat Daya,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,9664694578
Kab. Aceh Barat Daya,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,2280631200
Kab. Aceh Barat Daya,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,1542559840
Kab. Aceh Barat Daya,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,1800000000
