namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1509791063991
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1409251915060.8
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,28864400000
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,17087692809
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,196934994855
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,182385550448
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,746038575100
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,1090187312826.3
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,13020619658212
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,13049675124487
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,21480000000
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,4213306021
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,432. Dana Darurat,Anggaran,
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,432. Dana Darurat,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,
Provinsi Aceh,Provinsi Aceh,2019,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,3319174765050
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2461315744896
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Anggaran,6085049267953
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Realisasi,4514524421391.6
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,3621219113339
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,3162088165983
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Anggaran,
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,
Provinsi Aceh,Provinsi Aceh,2019,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,0
