namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1371597749941
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1309081813533
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,17799646000
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,20762789454
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,192982069855
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,181654111575
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,742282965404
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,847886679083.65
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,12274206245080
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,12065901692555
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,23606648000
Provinsi Aceh,Provinsi Aceh,2018,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,2495989598
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,3157833167484
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2274436642148.4
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Anggaran,6882110133031
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Realisasi,3396750243455.8
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,3300040071655
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,2503941129736.8
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,708607997040
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,3146293151466
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,236705200000
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,237302674023
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,40000000000
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,48704400
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,653458750517
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,642408224651.25
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,105248626400
Provinsi Aceh,Provinsi Aceh,2018,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,105125417600
Provinsi Aceh,Provinsi Aceh,2018,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,832354993296
Provinsi Aceh,Provinsi Aceh,2018,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,907571981763.02
Provinsi Aceh,Provinsi Aceh,2018,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Anggaran,65000000000
Provinsi Aceh,Provinsi Aceh,2018,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Realisasi,74590905137.68
Provinsi Bali,Provinsi Bali,2018,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,2969174893828
Provinsi Bali,Provinsi Bali,2018,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,3230732169802.5
Provinsi Bali,Provinsi Bali,2018,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,46138406706
Provinsi Bali,Provinsi Bali,2018,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,40241780029
Provinsi Bali,Provinsi Bali,2018,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,139099436919
Provinsi Bali,Provinsi Bali,2018,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,170219137368.48
Provinsi Bali,Provinsi Bali,2018,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,193640667875
