namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Kab. Aceh Barat,Provinsi Aceh,2024,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,106061798397.24
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,10330022397
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,9214065851
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,2038187043
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,1249895592
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,1800000000
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,2401138544
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,99658940678
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,122686214367.44
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,770996671105
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,769318731615
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,18586299921
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,0
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,40639644063
Kab. Aceh Barat Daya,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Realisasi,30817598305
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,340665990653.98
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,324014545217
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,274399896608.02
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,248020995251
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,164252896640
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,107847791847
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,65782497276
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,62439511514.58
Kab. Aceh Barat Daya,Provinsi Aceh,2024,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,8349037541
