namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1617438860000
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1477991066969.6
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,33793140000
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,8159969910
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,202386465655
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,181700799036
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,770731195619
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,902924041267.5
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,12832870800700
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,11826017687067
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,422. Pendapatan Transfer Antar Daerah,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,43126992771
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,432. Dana Darurat,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,432. Dana Darurat,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2020,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,4094015242356
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2483284443746
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Anggaran,5719711520446
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Realisasi,3702404761737
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,2725627458505
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,1755472079286.5
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,513. Belanja Bunga,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,712362675022
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,1422789246408.9
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,15818350000
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,377503593012.2
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,519. Belanja Lainnya,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,519. Belanja Lainnya,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,118825547908
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,158460075459
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,912951642027.06
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,802937015414
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,2980215904489
Provinsi Aceh,Provinsi Aceh,2020,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,2539361586831
Provinsi Aceh,Provinsi Aceh,2020,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,1822307878779
