namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,49712540645
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,16548346334
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,14712302000
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,4114578800
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,4000000000
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,0
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,122269476078
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,6520448721.52
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1192992870950
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,427710992658
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,15991212256
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,0
Kab. Aceh Barat,Provinsi Aceh,2025,4. Pendapatan Daerah,43. Pendapatan Lainnya,434. Pendapatan Transfer Antar Daerah,Anggaran,28435146183
