namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1722008235092
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,764106363481.29
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,700477633788
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,282901733594.9
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,265781801886
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,270253493775
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,170854502169
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,127164441905.76
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,7935475288000
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,2961393169854
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,1968000000
Provinsi Aceh,Provinsi Aceh,2025,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,1350883986.55
Provinsi Aceh,Provinsi Aceh,2025,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,3680706217571.8
Provinsi Aceh,Provinsi Aceh,2025,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,1879877231606
Provinsi Aceh,Provinsi Aceh,2025,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,3877196438703.4
Provinsi Aceh,Provinsi Aceh,2025,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,1493526379991.5
Provinsi Aceh,Provinsi Aceh,2025,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,1004234420901.3
