namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1877493725719
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1930621844261
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,693832792144
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,790959745324.61
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,265530274530
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,267660903349
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,182162912923
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,236443432921.41
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,8241836725000
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,8167778560238
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,1968000000
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,2573582835.56
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2024,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,3452402828164
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,3371575286947
Provinsi Aceh,Provinsi Aceh,2024,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,3735549526543.8
