namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1374555532889
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1529610318107.6
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,12133554700
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,8307103680
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,182385550448
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,152434096229
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,832607817928
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,815536391014.49
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,11754301755400
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,11431169265498
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,27410001577
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,9815653425
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2021,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,1515445482
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,2914739324873
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2631227115328
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Anggaran,5773691944743
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Realisasi,5125955152315.1
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,3339924118950
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,2199333370928.9
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,907326772760
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,758581422107.25
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,386321863889
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,133553450107.35
Provinsi Aceh,Provinsi Aceh,2021,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,347873793729
