namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,25000000000
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,0
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,581115389.3
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,2960437850589
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,3757441342646
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,59595436500
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,14115719423
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,810711860000
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,157788825642.32
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,900674035000
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,364341228270.25
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,2146820137794
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,2035914798920
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,55708000000
Provinsi Bali,Provinsi Bali,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,5199977500
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,2072564871779
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,1643810541984
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,1348709586876
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,1110858537420.4
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,1419978951582
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,887106308053.99
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,10025000000
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,10018140000
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,881696186277
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,784323906128.41
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,30721200000
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,0
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,50000000000
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,8733200000.44
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,1186722448892
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,1245779259896
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,521974803508
Provinsi Bali,Provinsi Bali,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,260458917446
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,1025945729031
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,330133723425.37
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,612. Pencairan Dana Cadangan,Anggaran,0
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,612. Pencairan Dana Cadangan,Realisasi,78829667200
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Anggaran,150000000000
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Realisasi,150000000000
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,100000000000
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,90000000000
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,187500000000
Provinsi Bali,Provinsi Bali,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,154445999643
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,848653198396
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,828456218004.72
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,13609682900
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,8719790041
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,6500000000
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,10026504291.32
Provinsi Bangka Belitung,Provinsi Bangka Belitung,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,169542058250
