namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,1540097649610
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,1717834522320.1
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,9071960000
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,15000911792
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,182385550448
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,179862545155.53
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,836638196000
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,1004447023784.3
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,10773391563500
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,10775168990686
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,11398468031
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,21164409858
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Anggaran,0
Provinsi Aceh,Provinsi Aceh,2022,4. Pendapatan Daerah,43. Pendapatan Lainnya,433. Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,Realisasi,106300000
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,3043946535025
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,2672636562975
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Anggaran,5365566648829
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,Realisasi,5961654335730
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,3042316408188
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,2868705757385
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Anggaran,4467608000
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,514. Belanja Subsidi,Realisasi,13225283500
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,893217362083
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,1026826661463.4
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,142340411831
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,179052892579
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,448853663656
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,4335030000
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,733192969514
Provinsi Aceh,Provinsi Aceh,2022,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,764976522258.91
