4. Pendapatan Daerah.name,4. Pendapatan Daerah.nilaianggaran,4. Pendapatan Daerah.nilairealisasi,4. Pendapatan Daerah.persentase,4. Pendapatan Daerah.totalitem,4. Pendapatan Daerah.level2.41. PAD.name,4. Pendapatan Daerah.level2.41. PAD.nilaianggaran,4. Pendapatan Daerah.level2.41. PAD.nilairealisasi,4. Pendapatan Daerah.level2.41. PAD.persentase,4. Pendapatan Daerah.level2.41. PAD.totalitem,4. Pendapatan Daerah.level2.41. PAD.level3,4. Pendapatan Daerah.level2.42. TKDD.name,4. Pendapatan Daerah.level2.42. TKDD.nilaianggaran,4. Pendapatan Daerah.level2.42. TKDD.nilairealisasi,4. Pendapatan Daerah.level2.42. TKDD.persentase,4. Pendapatan Daerah.level2.42. TKDD.totalitem,4. Pendapatan Daerah.level2.42. TKDD.level3,4. Pendapatan Daerah.level2.43. Pendapatan Lainnya.name,4. Pendapatan Daerah.level2.43. Pendapatan Lainnya.nilaianggaran,4. Pendapatan Daerah.level2.43. Pendapatan Lainnya.nilairealisasi,4. Pendapatan Daerah.level2.43. Pendapatan Lainnya.persentase,4. Pendapatan Daerah.level2.43. Pendapatan Lainnya.totalitem,4. Pendapatan Daerah.level2.43. Pendapatan Lainnya.level3,5. Belanja Daerah.name,5. Belanja Daerah.nilaianggaran,5. Belanja Daerah.nilairealisasi,5. Belanja Daerah.persentase,5. Belanja Daerah.totalitem,5. Belanja Daerah.level2.51. Belanja Pegawai.name,5. Belanja Daerah.level2.51. Belanja Pegawai.nilaianggaran,5. Belanja Daerah.level2.51. Belanja Pegawai.nilairealisasi,5. Belanja Daerah.level2.51. Belanja Pegawai.persentase,5. Belanja Daerah.level2.51. Belanja Pegawai.totalitem,5. Belanja Daerah.level2.51. Belanja Pegawai.level3,5. Belanja Daerah.level2.52. Belanja Barang dan Jasa.name,5. Belanja Daerah.level2.52. Belanja Barang dan Jasa.nilaianggaran,5. Belanja Daerah.level2.52. Belanja Barang dan Jasa.nilairealisasi,5. Belanja Daerah.level2.52. Belanja Barang dan Jasa.persentase,5. Belanja Daerah.level2.52. Belanja Barang dan Jasa.totalitem,5. Belanja Daerah.level2.52. Belanja Barang dan Jasa.level3,5. Belanja Daerah.level2.53. Belanja Modal.name,5. Belanja Daerah.level2.53. Belanja Modal.nilaianggaran,5. Belanja Daerah.level2.53. Belanja Modal.nilairealisasi,5. Belanja Daerah.level2.53. Belanja Modal.persentase,5. Belanja Daerah.level2.53. Belanja Modal.totalitem,5. Belanja Daerah.level2.53. Belanja Modal.level3,5. Belanja Daerah.level2.54. Belanja Lainnya.name,5. Belanja Daerah.level2.54. Belanja Lainnya.nilaianggaran,5. Belanja Daerah.level2.54. Belanja Lainnya.nilairealisasi,5. Belanja Daerah.level2.54. Belanja Lainnya.persentase,5. Belanja Daerah.level2.54. Belanja Lainnya.totalitem,5. Belanja Daerah.level2.54. Belanja Lainnya.level3,6. Pembiayaan Daerah.name,6. Pembiayaan Daerah.nilaianggaran,6. Pembiayaan Daerah.nilairealisasi,6. Pembiayaan Daerah.persentase,6. Pembiayaan Daerah.totalitem,6. Pembiayaan Daerah.level2.61. Penerimaan Pembiayaan Daerah.name,6. Pembiayaan Daerah.level2.61. Penerimaan Pembiayaan Daerah.nilaianggaran,6. Pembiayaan Daerah.level2.61. Penerimaan Pembiayaan Daerah.nilairealisasi,6. Pembiayaan Daerah.level2.61. Penerimaan Pembiayaan Daerah.persentase,6. Pembiayaan Daerah.level2.61. Penerimaan Pembiayaan Daerah.totalitem,6. Pembiayaan Daerah.level2.61. Penerimaan Pembiayaan Daerah.level3,6. Pembiayaan Daerah.level2.62. Pengeluaran Pembiayaan Daerah.name,6. Pembiayaan Daerah.level2.62. Pengeluaran Pembiayaan Daerah.nilaianggaran,6. Pembiayaan Daerah.level2.62. Pengeluaran Pembiayaan Daerah.nilairealisasi,6. Pembiayaan Daerah.level2.62. Pengeluaran Pembiayaan Daerah.persentase,6. Pembiayaan Daerah.level2.62. Pengeluaran Pembiayaan Daerah.totalitem,6. Pembiayaan Daerah.level2.62. Pengeluaran Pembiayaan Daerah.level3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{0: '4. Pendapatan Daerah'},{0: 6354200071179},{0: 5628599076598.81},{0: 75.60833333333333},{0: 6},{0: '41. PAD'},{0: 4074449341179},{0: 4111115408902.8096},{0: 89.7825},{0: 4},"{0: [{'id': 82979, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '411. Pajak Daerah', 'nilaianggaran': '3239223722629', 'nilairealisasi': '3318329493381', 'persentase': '102.44', 'updatedate': '2024-10-30 00:00:00'}, {'id': 83761, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '412. Retribusi Daerah', 'nilaianggaran': '59213399000', 'nilairealisasi': '16305404712', 'persentase': '27.54', 'updatedate': '2024-10-30 00:00:00'}, {'id': 78124, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan', 'nilaianggaran': '143435645800', 'nilairealisasi': '197369947623.03', 'persentase': '137.6', 'updatedate': '2024-10-30 00:00:00'}, {'id': 78606, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '414. Lain-Lain PAD yang Sah', 'nilaianggaran': '632576573750', 'nilairealisasi': '579110563186.78', 'persentase': '91.55', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '42. TKDD'},{0: 2274042730000},{0: 1515893565416},{0: 66.66},{0: 1},"{0: [{'id': 76331, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '42. TKDD', 'level3coa90': '421. Pendapatan Transfer Pemerintah Pusat', 'nilaianggaran': '2274042730000', 'nilairealisasi': '1515893565416', 'persentase': '66.66', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '43. Pendapatan Lainnya'},{0: 5708000000},{0: 1590102280},{0: 27.86},{0: 1},"{0: [{'id': 80719, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '43. Pendapatan Lainnya', 'level3coa90': '431. Pendapatan Hibah', 'nilaianggaran': '5708000000', 'nilairealisasi': '1590102280', 'persentase': '27.86', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '5. Belanja Daerah'},{0: 6917008137900},{0: 4940445705887},{0: 71.56333333333333},{0: 9},{0: '51. Belanja Pegawai'},{0: 2212204560369},{0: 1655232572821},{0: 74.82},{0: 1},"{0: [{'id': 79299, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '51. Belanja Pegawai', 'level3coa90': '511. Belanja Pegawai', 'nilaianggaran': '2212204560369', 'nilairealisasi': '1655232572821', 'persentase': '74.82', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '52. Belanja Barang dan Jasa'},{0: 1260916551398},{0: 715576723767.55},{0: 56.75},{0: 1},"{0: [{'id': 79400, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '52. Belanja Barang dan Jasa', 'level3coa90': '512. Belanja Barang dan Jasa', 'nilaianggaran': '1260916551398', 'nilairealisasi': '715576723767.55', 'persentase': '56.75', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '53. Belanja Modal'},{0: 753187821368},{0: 318458612133.45},{0: 42.28},{0: 1},"{0: [{'id': 82180, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '53. Belanja Modal', 'level3coa90': '520. Belanja Modal', 'nilaianggaran': '753187821368', 'nilairealisasi': '318458612133.45', 'persentase': '42.28', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '54. Belanja Lainnya'},{0: 2690699204765},{0: 2251177797165},{0: 78.36999999999999},{0: 6},"{0: [{'id': 76466, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '514. Belanja Subsidi', 'nilaianggaran': '2525000000', 'nilairealisasi': '2500000000', 'persentase': '99.01', 'updatedate': '2024-10-30 00:00:00'}, {'id': 83606, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '515. Belanja Hibah', 'nilaianggaran': '989745066936', 'nilairealisasi': '892305650664', 'persentase': '90.16', 'updatedate': '2024-10-30 00:00:00'}, {'id': 79626, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '516. Belanja Bantuan Sosial', 'nilaianggaran': '250000000', 'nilairealisasi': '250000000', 'persentase': '100', 'updatedate': '2024-10-30 00:00:00'}, {'id': 80943, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '531. Belanja Tidak Terduga', 'nilaianggaran': '62772177068', 'nilairealisasi': '5977934041', 'persentase': '9.52', 'updatedate': '2024-10-30 00:00:00'}, {'id': 84326, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '541. Belanja Bagi Hasil', 'nilaianggaran': '1279176638488', 'nilairealisasi': '1024381235170', 'persentase': '80.08', 'updatedate': '2024-10-30 00:00:00'}, {'id': 81182, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '542. Belanja Bantuan Keuangan', 'nilaianggaran': '356230322273', 'nilairealisasi': '325762977290', 'persentase': '91.45', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '6. Pembiayaan Daerah'},{0: 1060642093425},{0: 484671655599.56},{0: 61.276666666666664},{0: 3},{0: '61. Penerimaan Pembiayaan Daerah'},{0: 811725080073},{0: 342650523381.56},{0: 63.385},{0: 2},"{0: [{'id': 85194, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '6. Pembiayaan Daerah', 'level2coa90': '61. Penerimaan Pembiayaan Daerah', 'level3coa90': '611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya', 'nilaianggaran': '640554747273', 'nilairealisasi': '171480190581.56', 'persentase': '26.77', 'updatedate': '2024-10-30 00:00:00'}, {'id': 84964, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '6. Pembiayaan Daerah', 'level2coa90': '61. Penerimaan Pembiayaan Daerah', 'level3coa90': '612. Pencairan Dana Cadangan', 'nilaianggaran': '171170332800', 'nilairealisasi': '171170332800', 'persentase': '100', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '62. Pengeluaran Pembiayaan Daerah'},{0: 248917013352},{0: 142021132218},{0: 57.06},{0: 1},"{0: [{'id': 80479, 'tahun': 2024, 'kodesatker': '992274', 'kodepemda': '22.00', 'namapemda': 'Provinsi Bali', 'namaprovinsi': 'Provinsi Bali', 'level1coa90': '6. Pembiayaan Daerah', 'level2coa90': '62. Pengeluaran Pembiayaan Daerah', 'level3coa90': '623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo', 'nilaianggaran': '248917013352', 'nilairealisasi': '142021132218', 'persentase': '57.06', 'updatedate': '2024-10-30 00:00:00'}]}"
{0: '4. Pendapatan Daerah'},{0: 2557103249900},{0: 1770459385513.49},{0: 63.964},{0: 5},{0: '41. PAD'},{0: 1096473717900},{0: 589421014855.49},{0: 59.74},{0: 4},"{0: [{'id': 79303, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '411. Pajak Daerah', 'nilaianggaran': '953693248600', 'nilairealisasi': '513762961040.3', 'persentase': '53.87', 'updatedate': '2024-10-30 00:00:00'}, {'id': 79894, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '412. Retribusi Daerah', 'nilaianggaran': '60931286200', 'nilairealisasi': '34489834132', 'persentase': '56.6', 'updatedate': '2024-10-30 00:00:00'}, {'id': 77737, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan', 'nilaianggaran': '10527934600', 'nilairealisasi': '8740777013.19', 'persentase': '83.02', 'updatedate': '2024-10-30 00:00:00'}, {'id': 78267, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '41. PAD', 'level3coa90': '414. Lain-Lain PAD yang Sah', 'nilaianggaran': '71321248500', 'nilairealisasi': '32427442670', 'persentase': '45.47', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '42. TKDD'},{0: 1460629532000},{0: 1181038370658},{0: 80.86},{0: 1},"{0: [{'id': 75452, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '4. Pendapatan Daerah', 'level2coa90': '42. TKDD', 'level3coa90': '421. Pendapatan Transfer Pemerintah Pusat', 'nilaianggaran': '1460629532000', 'nilairealisasi': '1181038370658', 'persentase': '80.86', 'updatedate': '2024-10-30 00:00:00'}]}",,,,,,,{0: '5. Belanja Daerah'},{0: 3007550621052},{0: 1734923959263.6199},{0: 43.17250000000001},{0: 8},{0: '51. Belanja Pegawai'},{0: 957274358258},{0: 780008657595},{0: 81.48},{0: 1},"{0: [{'id': 77735, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '51. Belanja Pegawai', 'level3coa90': '511. Belanja Pegawai', 'nilaianggaran': '957274358258', 'nilairealisasi': '780008657595', 'persentase': '81.48', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '52. Belanja Barang dan Jasa'},{0: 970120569560},{0: 441847013945.47},{0: 45.55},{0: 1},"{0: [{'id': 76776, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '52. Belanja Barang dan Jasa', 'level3coa90': '512. Belanja Barang dan Jasa', 'nilaianggaran': '970120569560', 'nilairealisasi': '441847013945.47', 'persentase': '45.55', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '53. Belanja Modal'},{0: 351757196118},{0: 100901168098.15},{0: 28.68},{0: 1},"{0: [{'id': 77364, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '53. Belanja Modal', 'level3coa90': '520. Belanja Modal', 'nilaianggaran': '351757196118', 'nilairealisasi': '100901168098.15', 'persentase': '28.68', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '54. Belanja Lainnya'},{0: 728398497116},{0: 412167119625},{0: 37.934},{0: 5},"{0: [{'id': 77856, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '515. Belanja Hibah', 'nilaianggaran': '153057263460', 'nilairealisasi': '134201663918', 'persentase': '87.68', 'updatedate': '2024-10-30 00:00:00'}, {'id': 81375, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '516. Belanja Bantuan Sosial', 'nilaianggaran': '2229100000', 'nilairealisasi': '816000000', 'persentase': '36.61', 'updatedate': '2024-10-30 00:00:00'}, {'id': 80853, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '531. Belanja Tidak Terduga', 'nilaianggaran': '33695938180', 'nilairealisasi': '627000000', 'persentase': '1.86', 'updatedate': '2024-10-30 00:00:00'}, {'id': 78930, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '541. Belanja Bagi Hasil', 'nilaianggaran': '468844595476', 'nilairealisasi': '272749001707', 'persentase': '58.17', 'updatedate': '2024-10-30 00:00:00'}, {'id': 83046, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '5. Belanja Daerah', 'level2coa90': '54. Belanja Lainnya', 'level3coa90': '542. Belanja Bantuan Keuangan', 'nilaianggaran': '70571600000', 'nilairealisasi': '3773454000', 'persentase': '5.35', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '6. Pembiayaan Daerah'},{0: 646833473536},{0: 354104562685.87},{0: 43.876666666666665},{0: 3},{0: '61. Penerimaan Pembiayaan Daerah'},{0: 548640422344},{0: 288315930818.87},{0: 52.55},{0: 1},"{0: [{'id': 78386, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '6. Pembiayaan Daerah', 'level2coa90': '61. Penerimaan Pembiayaan Daerah', 'level3coa90': '611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya', 'nilaianggaran': '548640422344', 'nilairealisasi': '288315930818.87', 'persentase': '52.55', 'updatedate': '2024-10-30 00:00:00'}]}",{0: '62. Pengeluaran Pembiayaan Daerah'},{0: 98193051192},{0: 65788631867},{0: 39.54},{0: 2},"{0: [{'id': 82782, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '6. Pembiayaan Daerah', 'level2coa90': '62. Pengeluaran Pembiayaan Daerah', 'level3coa90': '622. Penyertaan Modal Daerah', 'nilaianggaran': '15000000000', 'nilairealisasi': '0', 'persentase': '0', 'updatedate': '2024-10-30 00:00:00'}, {'id': 82641, 'tahun': 2024, 'kodesatker': '993813', 'kodepemda': '29.00', 'namapemda': 'Provinsi  Bangka Belitung', 'namaprovinsi': 'Provinsi Bangka Belitung', 'level1coa90': '6. Pembiayaan Daerah', 'level2coa90': '62. Pengeluaran Pembiayaan Daerah', 'level3coa90': '623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo', 'nilaianggaran': '83193051192', 'nilairealisasi': '65788631867', 'persentase': '79.08', 'updatedate': '2024-10-30 00:00:00'}]}"
